"Šalovci";219;97;12;1
"Šempeter - Vrtojba";760;496;65;11
"Šenèur";850;787;194;39
"Šentilj";1142;615;84;19
"Šentjernej";751;566;176;45
"Šentjur";2250;1575;312;52
"Šentrupert";243;182;58;15
"Škocjan";323;238;96;29
"Škofja Loka";2240;1810;578;158
"Škofljica";1009;921;214;43
"Šmarje pri Jelšah";1111;861;165;41
"Šmarješke Toplice";332;264;76;12
"Šmartno ob Paki";381;272;51;8
"Šmartno pri Litiji";520;431;134;47
"Šoštanj";974;690;118;33
"Štore";515;287;55;8
"Tabor";204;136;27;7
"Tišina";538;318;53;10
"Tolmin";1225;869;175;43
"Trbovlje";2066;1105;126;25
"Trebnje";1162;984;265;56
"Trnovska vas";138;122;26;5
"Trzin";398;360;74;11
"Tržiè";1741;1179;211;47
"Turnišèe";412;263;50;15
"Velenje";3994;2492;374;56
"Velika Polana";177;105;23;2
"Velike Lašèe";422;358;94;23
"Veržej";164;97;17;2
"Videm";651;452;67;18
"Vipava";483;431;157;44
"Vitanje";235;183;46;13
"Vodice";434;449;119;33
"Vojnik";991;671;146;39
"Vransko";270;212;52;18
"Vrhnika";1823;1400;332;62
"Vuzenica";351;207;34;7
"Zagorje ob Savi";1946;1342;233;48
"Zavrè";181;103;13;7
"Zreèe";731;516;105;14
"Žalec";2502;1577;311;52
"Železniki";567;560;214;82
"Žetale";137;115;25;8
"Žiri";455;415;130;31
"Žirovnica";512;386;59;12
"Žužemberk";410;409;115;36
