"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Dea";79;82;88;89;92;97
"Deana";27;29;29;29;30;31
"Debora";65;67;68;68;69;71
"Deborah";30;32;33;33;33;32
"Deja";136;139;144;153;157;161
"Dejana";99;104;106;105;105;107
"Deklica";6;-;-;-;-;-
"Delfa";10;10;9;9;9;9
"Delfina";16;17;16;15;15;16
"Delija";7;8;7;7;8;7
"Delila";5;7;7;10;11;12
"Delja";5;5;5;-;-;-
"Demetra";-;-;-;-;-;5
"Demi";15;15;15;16;16;17
"Denis";69;69;67;66;67;67
"Denisa";99;103;108;109;116;115
"Denise";41;41;43;45;46;46
"Derva";5;6;6;6;6;6
"Derviša";43;43;45;46;45;47
"Derviše";9;9;9;9;9;8
"Desa";66;66;65;64;65;66
"Desanka";227;224;221;216;214;209
"Desimirka";5;5;5;5;5;5
"Desire";16;16;16;15;15;16
"Desiree";23;17;17;19;19;19
"Despina";-;-;-;-;5;7
"Deša";8;9;8;8;8;8
"Deva";9;9;10;11;11;11
"Devana";5;5;5;5;5;5
"Devla";12;12;13;13;12;12
"Devleta";13;13;15;15;15;16
"Dezire";5;5;5;5;5;5
"Dhurata";-;-;-;-;-;5
"Diana";760;769;780;787;786;791
"Dida";5;5;5;6;6;7
"Diellza";6;9;10;10;11;11
"Dijana";769;772;789;790;816;826
"Dika";22;22;22;22;22;20
"Dilara";-;5;6;7;10;10
"Dilva";8;8;8;8;8;8
"Dina";132;132;135;141;141;140
"Dinela";-;-;-;-;-;5
"Dinka";33;32;31;33;33;34
"Diomira";5;5;5;5;5;5
"Diona";5;5;5;6;6;6
"Dita";18;19;22;23;24;25
"Ditka";24;24;24;25;25;26
"Divna";65;65;66;67;68;69
"Djana";5;5;5;6;6;5
"Djellza";-;-;7;8;9;13
"Djemila";16;18;18;18;18;18
"Djenita";-;-;-;-;5;5
"Djuja";11;11;11;11;10;10
"Djuka";15;16;15;16;17;17
"Djula";19;19;20;18;18;17
"Djurdja";17;15;14;14;13;13
"Djurdjica";36;35;35;35;36;34
"Djurdjija";16;16;16;16;16;16
"Dobrica";14;14;14;14;14;13
"Dobrila";108;108;111;109;111;109
"Dobrina";7;6;5;-;5;5
"Dobrinka";38;39;39;38;38;38
"Dobruška";5;5;5;5;5;5
"Dolores";505;510;511;512;513;515
"Doma";13;13;13;12;12;11
"Domenika";7;7;7;7;7;6
"Dominika";314;319;322;321;321;325
"Dona";29;29;29;29;29;31
"Donata";17;17;16;16;16;17
"Donatella";8;9;9;8;11;10
"Donika";8;9;10;11;10;12
"Donjeta";11;13;12;16;16;20
"Donka";6;8;8;8;8;8
"Donna";15;16;16;16;16;17
"Dora";422;422;432;438;439;437
"Dora Marija";5;5;5;5;5;5
"Dorentina";6;6;8;9;11;12
"Dori";6;6;6;5;5;5
"Doriana";6;6;6;7;8;8
"Dorica";142;140;139;137;137;136
"Dorijana";11;11;11;12;11;12
"Dorina";40;40;40;41;41;40
"Doris";549;556;556;559;556;553
"Dorjana";36;36;36;36;36;36
"Dorotea";40;42;42;44;43;45
"Doroteja";1444;1450;1450;1445;1443;1437
"Doroteja Marija";13;11;11;11;10;10
"Dorothea";6;5;5;6;6;5
"Dosta";19;19;19;19;19;19
"Dostana";10;10;10;10;10;10
"Draga";638;621;615;608;589;577
"Draga Marija";6;6;6;6;-;-
"Dragana";661;681;707;728;737;749
"Dragi";8;7;7;7;7;7
"Dragica";6780;6732;6691;6635;6583;6515
"Dragica Karolina";10;9;8;8;7;7
"Dragica Marija";14;13;11;10;10;9
"Draginja";108;107;107;107;104;101
"Dragojla";26;26;26;26;26;26
"Dragomila";9;8;8;6;6;6
"Dragomira";85;84;83;82;81;78
"Dragosava";7;7;7;7;7;7
"Dragoslava";58;57;57;57;56;57
"Dragotina";86;79;78;73;68;66
"Draguška";10;10;10;10;10;9
"Dražana";11;13;13;13;14;15
"Dražena";11;11;11;11;11;11
"Draženka";30;30;31;31;30;31
"Drena";31;32;31;30;31;31
"Drenka";28;28;27;29;28;28
"Drenusha";-;-;-;-;5;6
"Drina";9;9;9;9;9;9
"Drita";37;41;44;45;46;47
"Dubravka";182;183;182;181;183;181
"Duja";5;-;-;-;-;-
"Dunja";545;548;557;557;567;568
"Dursuma";21;22;22;22;22;22
"Duša";54;55;55;55;55;57
"Dušana";35;31;32;31;30;29
"Dušanka";1306;1303;1302;1293;1293;1284
"Dušica";409;406;409;407;405;402
"Dušica Marija";6;6;6;6;6;6
"Duška";139;139;138;137;136;139
"Džana";8;10;11;12;14;15
"Džarije";6;7;7;7;6;5
"Džehva";21;20;20;19;20;20
"Džejla";6;6;6;6;8;11
"Džemila";55;57;59;62;63;67
"Džemile";9;10;9;8;8;7
"Dženana";21;23;26;30;33;36
"Dženeta";9;9;10;10;10;13
"Dženi";10;10;9;9;9;9
"Dženisa";6;6;8;10;11;14
"Dženita";17;18;19;23;24;25
"Dževada";13;14;15;15;15;17
"Dževahira";8;9;9;9;8;9
"Dževida";14;15;15;15;16;16
"Džina";6;6;6;6;5;5
"Ecaterina";6;-;-;5;5;6
"Eda";175;176;174;175;177;176
"Edeltraud";15;14;15;14;13;12
"Edeltraut";7;7;6;-;-;-
"Edeltruda";8;9;9;9;8;8
"Edes";6;6;6;6;6;6
"Edica";17;17;17;17;17;17
"Edina";314;327;341;351;364;378
"Edisa";99;103;108;109;114;116
"Edit";31;29;29;29;28;28
"Edita";736;736;740;742;743;737
"Edita Marija";6;6;6;6;6;5
"Edith";22;21;21;21;20;20
"Edmira";7;7;7;7;7;7
"Edna";6;8;9;10;12;15
"Edona";24;26;30;30;32;36
"Edvarda";27;27;26;26;26;26
"Edvina";54;54;53;54;55;57
"Egidija";32;31;29;29;28;27
"Egzona";16;18;19;22;22;21
"Ehlimana";7;6;6;7;7;7
"Ejla";-;-;-;7;8;8
"Ekaterina";17;19;22;26;26;33
"Ekrema";24;25;29;29;32;33
"Ela";523;620;736;903;1044;1184
"Ela Marija";-;-;-;-;-;5
"Elda";136;137;134;134;135;132
"Eldina";35;40;47;49;50;54
"Elen";42;43;44;44;44;47
"Elena";467;497;535;561;601;648
"Eleonora";106;102;102;106;106;104
"Elfete";-;-;6;5;7;6
"Elfi";6;6;6;6;6;6
"Elfije";7;8;10;11;13;13
"Elfrida";75;72;71;66;64;61
"Elfriede";-;-;-;5;5;5
"Elhame";7;8;8;9;9;8
"Elhana";-;-;6;6;6;9
"Elheme";-;-;-;-;-;5
"Eli";46;58;64;72;79;91
"Eliana";-;-;-;5;5;5
"Elica";116;115;115;113;114;112
"Elida";44;43;43;42;45;45
"Elide";9;9;9;9;9;9
"Elifa";5;5;5;5;5;5
"Elin";11;13;16;26;28;35
"Elina";16;20;27;35;39;49
"Elis";34;34;36;38;41;41
"Elisa";35;39;42;48;53;60
"Elisabeth";17;15;15;14;14;15
"Elisabetta";9;9;10;9;8;7
"Elita";6;6;5;6;7;7
"Eliza";36;41;46;49;59;60
"Elizabet";9;9;9;10;10;10
"Elizabeta";4400;4300;4220;4120;4028;3927
"Elizabeta Marija";16;15;14;14;13;12
"Elizabeta Špela";8;7;7;7;7;7
"Elizabeth";9;10;11;9;10;11
"Elizaveta";-;-;5;-;5;7
"Elja";5;-;5;-;-;-
"Eljesa";-;-;6;8;9;9
"Elka";38;37;38;38;38;38
"Elke";-;-;5;5;5;5
"Ella";53;60;79;102;124;146
"Ellen";20;20;20;20;20;20
"Elli";-;-;-;-;5;5
"Elma";172;193;210;219;233;261
"Elmaza";5;5;5;5;5;5
"Elmedina";46;48;56;60;67;69
"Elmina";11;12;13;13;15;19
"Elmira";20;20;25;26;27;29
"Elona";6;6;9;10;15;16
"Elsa";26;29;32;35;39;41
"Elvane";-;5;-;5;5;5
"Elvedina";62;65;67;70;74;78
"Elvina";23;23;23;23;23;24
"Elvira";634;634;642;648;647;643
"Elvisa";141;148;148;146;153;162
"Elza";170;170;171;170;169;165
"Elzana";5;7;7;7;8;9
"Ely";-;-;-;-;-;5
"Ema";3233;3363;3478;3669;3847;4028
"Ema Ana";6;7;7;8;9;9
"Ema Julija";-;-;-;-;6;8
"Ema Marija";14;15;15;16;16;16
"Emana";-;-;5;5;6;8
"Emanuela";135;137;137;139;142;145
"Emela";-;-;-;-;5;-
"Emi";13;18;19;20;21;22
"Emica";127;126;126;123;123;124
"Emila";15;14;15;14;16;15
"Emili";22;24;25;28;34;37
"Emilia";27;30;28;24;25;24
"Emilie";-;-;-;5;-;-
"Emilija";1924;1893;1850;1805;1756;1712
"Emilija Marija";12;12;12;12;11;11
"Emilija Milena";7;7;7;8;8;8
"Emilijana";110;109;105;107;107;103
"Emilja";12;11;11;11;11;10
"Emiljana";20;19;20;20;20;20
"Emily";11;13;15;16;18;23
"Emina";489;508;543;553;576;592
"Emine";66;66;70;72;74;72
"Emira";198;201;214;220;221;224
"Emka";6;6;6;6;6;6
"Emma";60;77;89;103;119;139
"Emra";5;5;6;6;9;10
"Emrije";6;7;8;8;8;10
"Emsada";7;7;7;8;8;10
"Emsuda";23;24;24;24;24;24
"Ena";18;18;22;27;30;36
"Endrina";11;11;11;11;11;11
"Enea";17;18;19;21;23;25
"Eneja";121;134;139;148;153;160
"Enesa";46;47;50;51;53;62
"Engelberta";8;8;8;8;8;8
"Eni";14;15;15;15;14;16
"Enia";12;13;13;14;15;16
"Enida";9;9;10;11;15;18
"Enisa";234;240;249;252;261;263
"Enita";8;8;9;9;9;9
"Enja";57;68;77;87;96;100
"Enna";-;-;-;-;-;6
"Enrika";5;5;5;5;5;5
"Envera";7;8;9;8;8;9
"Enya";20;23;23;27;29;29
"Era";-;-;-;5;6;7
"Erblina";-;-;-;-;-;7
"Erica";6;7;8;11;11;12
"Erika";2898;2892;2896;2892;2894;2876
"Erika Marija";19;19;19;19;19;17
"Erin";25;32;40;49;62;71
"Erina";5;7;7;9;13;18
"Erisa";-;-;-;6;6;7
"Erjona";6;6;7;8;8;7
"Ermela";-;-;-;-;-;5
"Ermelinda";9;9;9;9;10;9
"Ermina";113;113;121;126;128;131
"Erminija";31;31;30;30;30;30
"Ermira";7;8;11;13;12;15
"Erna";986;979;975;981;974;974
"Erna Marija";14;14;14;13;13;13
"Ernada";7;7;8;8;7;8
"Ernesa";8;8;12;14;11;12
"Ernesta";126;118;116;112;110;109
"Ernestina";144;135;129;128;124;120
"Erntruda";7;7;7;7;7;7
"Erona";-;-;-;6;6;6
"Ervina";39;39;40;41;41;41
"Erza";9;12;16;21;24;29
"Erzsebet";16;-;-;-;-;-
"Erzsébet";-;16;16;16;14;12
"Erzumane";10;10;10;9;9;9
"Eržebet";17;17;17;16;16;15
"Esada";24;26;27;27;29;28
"Esma";182;188;199;198;197;208
"Esmeralda";22;22;22;22;23;24
"Esmina";9;9;10;10;12;13
"Esmira";19;19;23;25;25;26
"Estela";8;8;8;8;8;8
"Ester";314;316;321;323;324;326
"Estera";185;185;185;186;185;183
"Esterka";6;6;6;6;6;5
"Esther";11;10;10;10;8;8
"Ešefa";6;7;7;7;7;8
"Eta";12;13;13;13;13;13
"Etel";7;7;7;7;7;7
"Etelka";96;92;89;81;80;77
"Eufemija";11;11;11;9;9;8
"Eugenija";12;11;11;11;11;11
"Eva";6072;6339;6633;6933;7249;7521
"Eva Ana";6;6;6;7;7;8
"Eva Barbara";6;6;6;6;6;6
"Eva Julija";9;12;14;17;20;21
"Eva Katarina";5;-;5;5;6;7
"Eva Lana";-;-;-;-;-;5
"Eva Lina";-;-;-;-;-;5
"Eva Lucija";5;5;5;5;5;5
"Eva Luna";-;-;-;-;-;5
"Eva Maria";5;8;6;6;5;6
"Eva Marija";36;37;36;38;39;39
"Eva Zala";7;8;8;10;10;10
"Evelin";141;152;164;176;187;209
"Evelina";180;185;190;202;207;219
"Eveline";6;6;6;6;6;6
"Evelyn";19;22;21;20;24;28
"Evfemija";5;-;-;-;-;-
"Evgenia";-;-;-;5;-;5
"Evgenija";100;98;98;94;95;95
"Evgeniya";-;-;-;-;-;5
"Evica";60;59;59;58;57;58
"Evita";60;64;76;81;89;95
"Evlalija";20;20;20;20;19;18
"Ezana";-;5;6;6;6;6
"Fabijana";9;9;9;9;9;9
"Fadila";146;148;153;154;162;159
"Fahira";19;19;19;19;19;23
"Fahreta";14;14;15;15;16;13
"Fahrija";10;11;11;12;12;11
"Fahrije";18;16;18;18;20;21
"Faiza";-;-;5;5;5;5
"Fajla";5;5;5;5;-;-
"Faketa";11;11;11;12;13;15
"Fanèi";13;13;13;13;13;13
"Fani";249;245;241;237;234;229
"Fanica";5;-;-;-;-;-
"Fanika";289;288;287;287;285;280
"Farah";-;-;-;-;-;5
"Farije";13;15;15;16;16;16
"Farzila";6;6;6;6;6;6
"Fata";103;103;105;102;101;102
"Fate";34;35;34;36;38;39
"Fatima";444;456;464;479;479;470
"Fatime";124;127;142;141;151;157
"Fatjona";5;5;8;10;11;10
"Fatka";17;18;18;18;18;18
"Fatlinda";-;-;7;8;12;13
"Fatma";56;56;60;62;62;62
"Fatmira";5;5;5;5;5;5
"Fatmire";24;23;30;29;29;35
"Fazila";16;16;17;17;17;17
"Fazile";-;-;-;5;7;8
"Federica";5;5;5;6;6;6
"Federika";5;-;-;-;-;-
"Fedha";5;5;5;5;5;5
"Fehima";17;19;20;20;19;19
"Fehime";-;6;6;6;6;6
"Fehrija";7;7;7;7;7;7
"Fekrije";6;7;8;8;9;9
"Felicita";51;51;50;50;48;47
"Ferdeze";-;-;5;5;6;6
"Ferdinanda";48;48;47;47;46;45
"Ferida";118;120;125;128;129;127
"Feride";14;16;16;16;18;18
"Fernanda";-;5;5;6;6;7
"Festina";-;-;6;6;6;6
"Fetija";13;13;15;15;15;15
"Fetije";25;25;29;30;31;31
"Fidanka";-;5;5;5;5;6
"Fides";7;7;7;7;7;7
"Fiknete";8;8;8;8;8;8
"Fikra";8;8;9;9;9;9
"Fikreta";153;157;160;160;165;166
"Fikrete";-;-;5;5;5;6
"Fikrije";10;10;10;10;11;11
"Filipa";11;11;11;11;12;13
"Filipina";28;28;27;25;23;23
"Filloreta";5;5;5;6;6;6
"Filomena";56;56;53;50;49;46
"Fina";11;11;11;10;9;9
"Finka";23;23;23;23;23;23
"Fiona";21;26;30;35;38;39
"Fiorela";8;8;8;8;8;8
"Fiorella";6;6;6;6;6;6
"Fitore";17;20;22;21;22;25
"Fjola";-;-;-;-;-;5
"Fjolla";7;9;11;11;11;14
"Flavia";7;8;8;9;9;9
"Flavija";13;13;14;13;14;14
"Fljorije";5;5;-;-;-;-
"Flora";40;41;44;44;47;59
"Florentina";14;16;16;16;19;22
"Flori";5;5;5;5;5;5
"Floriana";-;-;-;-;-;5
"Florie";-;-;-;-;5;-
"Florijana";101;101;100;100;100;98
"Florijana Cvetka";5;5;5;5;5;5
"Florije";8;13;20;19;20;23
"Florina";10;10;10;11;12;12
"Florinda";-;6;6;6;6;7
"Florjana";106;105;102;102;102;101
"Flurije";10;10;11;11;11;13
"Franca";98;88;84;78;73;65
"Francesca";10;12;11;11;10;8
"Francika";15;15;15;15;15;14
"Franciska";65;64;62;60;58;57
"Franciška";8;8;7;6;6;5
"Francka";438;437;428;418;406;403
"Franèiška";10401;10004;9590;9240;8869;8514
"Franèiška Ana";9;9;9;8;8;8
"Franèiška Antonija";5;5;5;5;-;-
"Franèiška Ivana";7;7;7;6;6;5
"Franèiška Jožefa";5;5;5;5;-;-
"Franèiška Marija";27;26;25;24;24;23
"Franèka";11;11;10;10;10;10
"Franica";63;61;58;53;51;50
"Franja";303;305;308;307;306;301
"Franjica";35;35;33;32;31;30
"Franjka";5;-;-;-;-;-
"Franka";141;141;141;140;141;141
"Franziska";9;7;7;8;7;6
"Freja";-;-;6;8;9;9
"Frida";400;396;394;398;391;387
"Friderika";241;236;233;228;221;216
"Friderika Marija";6;6;5;-;-;-
"Frosina";-;-;-;-;-;6
"Fuada";6;6;6;6;8;9
"Fulvia";7;7;7;7;7;8
"Gabi";64;64;66;65;66;65
"Gabika";6;6;6;6;6;6
"Gabriela";425;421;429;432;434;436
"Gabriela Marija";6;6;6;6;6;6
"Gabriele";12;12;11;11;13;11
"Gabriella";20;18;19;19;22;26
"Gabrijela";2234;2220;2192;2182;2161;2136
"Gabrijela Jelka";9;9;9;9;9;9
"Gabrijela Marija";22;22;22;22;22;21
"Gaia";64;80;87;92;101;107
"Gaja";745;817;884;978;1061;1141
"Gala";43;50;55;61;63;66
"Galina";27;32;33;39;35;37
"Galja";9;9;10;10;11;12
"Galyna";-;-;-;-;-;5
"Ganimet";-;-;-;5;5;6
"Ganimete";19;22;28;31;33;38
"Ganna";7;8;8;12;12;11
"Gea";41;43;46;47;50;52
"Gena";10;10;10;10;10;8
"Geni";9;9;9;9;9;9
"Genovefa";281;271;258;244;237;223
"Genoveva";5;5;-;-;-;-
"Gentiana";7;7;11;13;12;13
"Gentijana";-;-;-;-;5;6
"Georgina";10;10;10;11;12;12
"Gera";35;35;35;33;33;30
"Gerda";9;9;9;9;9;9
"Gerlinda";5;5;5;5;5;5
"Germana";13;12;12;12;12;12
"Gerta";13;15;15;15;15;17
"Gertrud";10;9;9;9;8;8
"Gertruda";70;68;66;65;65;65
"Gertrude";-;5;5;5;5;-
"Gianna";6;7;8;8;8;7
"Gigliola";7;7;7;7;7;7
"Gilda";8;7;7;6;6;5
"Giliola";8;8;8;8;8;8
"Gina";73;74;73;72;72;71
"Gioconda";7;7;7;7;7;7
"Gioia";7;7;7;7;7;7
"Giorgina";11;11;10;9;9;8
"Giovanna";5;6;6;6;6;6
"Gisella";6;7;6;6;5;5
"Gita";23;23;23;24;24;24
"Giulia";13;15;16;19;22;23
"Giuliana";24;24;25;26;26;26
"Giuseppina";12;12;12;12;13;12
"Gizela";828;793;768;746;718;681
"Gizela Marija";6;6;6;6;6;5
"Gizella";16;16;16;14;13;12
"Gjurgja";-;-;5;-;-;5
"Gjurgjica";10;10;10;11;10;10
"Gloria";119;130;141;152;171;176
"Glorija";111;117;127;136;144;152
"Goja";24;24;24;24;25;26
"Gojka";7;7;7;7;8;8
"Gorana";47;48;47;49;48;50
"Goranka";27;28;29;29;29;27
"Gordana";1748;1742;1753;1750;1759;1762
"Gorica";42;45;46;45;49;50
"Gorjana";5;5;5;5;5;6
"Gospa";64;63;63;63;62;61
"Gospana";15;16;15;16;16;13
"Gospava";29;31;30;30;30;30
"Gospe";6;6;6;6;6;6
"Gospova";33;33;32;32;32;31
"Gozdana";5;5;5;5;5;5
"Graciela";12;12;12;13;13;13
"Gracija";6;6;6;6;6;7
"Gracijana";5;5;5;5;5;5
"Gracijela";86;84;84;82;78;76
"Gracjela";27;28;27;26;26;26
"Grazia";5;5;-;5;5;-
"Graziella";19;19;18;18;18;19
"Gresa";8;8;11;13;15;17
"Greta";370;371;371;374;375;371
"Greti";37;37;37;37;37;36
"Gretica";26;26;26;26;26;26
"Gretka";5;5;5;5;5;5
"Grozda";38;37;37;37;37;37
"Grozdana";97;98;99;98;99;98
"Gruša";7;7;7;7;8;8
"Gusti";6;6;6;6;6;6
"Gzime";5;5;7;8;8;8
"Gyoengyi";8;-;-;-;-;-
"Gyoengyike";7;-;-;-;-;-
"Gyöngyi";-;8;8;8;8;8
"Gyöngyike";-;7;7;7;7;7
"Habiba";11;11;10;10;11;11
"Habibe";7;8;11;12;11;11
"Hadije";-;-;5;5;5;5
"Hadjija";5;5;5;5;5;5
"Hadžera";8;8;8;8;8;7
"Hadžere";9;7;6;5;5;5
"Hadžira";6;7;7;8;8;11
"Hafeza";9;10;10;10;11;11
"Hafiza";8;9;9;10;10;9
"Haidi";-;-;5;5;5;5
"Hajdeja";17;17;16;16;16;15
"Hajdi";33;35;36;38;40;41
"Hajnalka";11;10;10;10;11;12
"Hajra";45;46;51;51;49;49
"Hajrija";75;77;78;79;81;85
"Hajrije";24;25;29;31;28;31
"Hajruša";5;6;6;6;7;7
"Halida";74;75;77;79;80;80
"Halima";27;27;28;27;27;28
"Halime";18;16;17;19;22;24
"Halyna";9;11;12;13;11;12
"Hamida";49;50;50;53;53;56
"Hamide";21;21;21;23;23;24
"Hamša";5;5;5;5;5;5
"Hana";1498;1660;1855;2033;2203;2358
"Hana Marija";7;8;10;10;10;10
"Hanah";8;9;9;9;11;11
"Hanèa";-;5;5;5;5;5
"Hanèe";5;5;6;6;6;5
"Hani";8;8;8;8;8;8
"Hanifa";45;46;48;49;49;51
"Hanife";21;23;25;26;23;27
"Hanija";12;13;13;13;13;12
"Hanisa";-;-;-;-;-;5
"Hanka";56;57;58;60;62;61
"Hankija";-;-;-;5;5;-
"Hanna";72;86;94;111;114;129
"Hannah";16;17;19;18;20;21
"Hannelore";5;5;5;5;5;6
"Harisa";15;16;18;17;18;20
"Haseda";40;43;44;47;48;49
"Hasema";6;6;6;7;7;7
"Hasiba";63;65;65;64;66;67
"Hasibe";28;28;32;32;32;35
"Hasija";27;28;29;30;31;31
"Hasime";8;7;8;9;10;10
"Hasnija";90;89;94;99;102;105
"Hašija";9;9;9;8;8;8
"Hašima";6;6;6;6;6;7
"Hata";49;47;48;49;49;51
"Hatema";6;6;6;6;6;6
"Hatemina";-;-;-;-;5;6
"Hatidža";62;64;67;69;66;68
"Hatidže";32;31;31;31;28;24
"Hatije";5;5;7;7;6;7
"Hatiðe";5;5;5;5;5;5
"Hatixhe";12;13;11;14;15;18
"Hatka";15;15;15;15;15;15
"Hato";5;6;6;6;-;-
"Hava";69;75;79;79;79;79
"Hazbije";-;5;5;5;-;-
"Hazema";17;18;19;19;19;19
"Hazemina";14;14;14;14;14;14
"Hazima";11;11;13;13;13;14
"Haxhere";5;6;8;9;11;10
"Heda";37;36;36;36;35;35
"Hedija";23;23;23;23;24;23
"Hedviga";82;75;71;68;65;65
"Hedvika";1019;1004;981;960;937;915
"Hedvika Marija";11;11;11;11;11;10
"Heidi";60;62;62;62;61;62
"Hejdi";6;6;6;6;6;6
"Hela";8;8;8;8;9;9
"Helen";6;6;5;-;-;-
"Helena";7057;6976;6902;6825;6761;6670
"Helena Alenka";10;10;11;11;11;11
"Helena Jelka";11;11;11;11;10;10
"Helena Marija";31;29;29;28;28;27
"Helenca";117;117;115;115;114;114
"Helga";121;120;119;119;117;114
"Helma";5;5;5;5;5;5
"Hema";77;72;69;71;69;64
"Hena";-;-;-;-;-;5
"Henrika";26;25;25;25;23;23
"Herma";10;10;10;10;10;10
"Hermina";1083;1072;1059;1036;1024;1000
"Hermina Marija";6;6;6;6;6;6
"Herminija";6;6;6;5;5;5
"Herta";133;134;135;132;130;128
"Hiacinta";6;5;5;5;5;5
"Hida";14;14;14;15;15;14
"Hidaeta";5;5;5;-;-;-
"Hidajeta";17;18;19;19;20;20
"Hidajete";-;-;7;6;9;11
"Hijacinta";20;20;20;21;20;20
"Hikmeta";8;9;9;9;11;10
"Hilarija";36;36;35;33;33;33
"Hilda";751;737;723;710;699;673
"Hilda Marija";8;8;7;7;7;7
"Hildegard";20;19;19;17;17;15
"Hildegarda";106;101;98;94;90;86
"Himka";6;6;6;6;6;6
"Himzija";5;5;5;5;5;5
"Hinka";6;6;6;6;6;5
"Hojka";14;14;14;14;14;14
"Hristina";11;10;14;16;22;23
"Huanita";5;5;5;5;5;5
"Hurija";6;6;6;6;6;6
"Hyra";-;-;5;5;7;7
"Hyrije";-;-;-;5;6;6
"Hysnije";6;6;7;6;9;8
"Iana";-;-;-;-;-;5
"Ibadete";7;7;8;9;8;11
"Ibojka";13;13;13;13;13;13
"Iboljka";17;16;16;16;16;15
"Ibolka";25;25;25;25;25;25
"Ibolya";-;-;-;-;5;-
"Ibolyka";5;5;5;5;5;5
"Ida";2408;2386;2359;2331;2295;2264
"Ida Marija";27;28;26;25;24;23
"Ifeta";73;76;78;77;75;73
"Igbala";6;6;6;6;5;6
"Igbale";-;-;5;5;5;6
"Ignacija";14;13;12;12;12;11
"Ika";52;52;52;53;54;55
"Ilaria";12;13;15;14;14;14
"Ilda";21;24;26;28;30;29
"Ildiko";11;7;6;9;8;8
"Ildikó";-;-;-;-;-;5
"Ileana";7;7;7;7;7;7
"Ilena";-;5;5;5;5;5
"Ilenia";6;7;8;8;8;10
"Ilhana";8;9;11;12;14;21
"Ilijana";13;13;13;13;13;13
"Ilinka";86;87;89;88;89;89
"Ilirjana";-;-;-;5;5;-
"Ilka";18;16;17;17;17;18
"Ilma";9;9;11;11;13;16
"Ilmije";7;7;7;9;9;9
"Ilona";102;101;98;94;95;99
"Ilonka";70;70;69;68;69;68
"Ilse";5;-;-;-;-;-
"Ilvana";8;8;9;10;10;11
"Iman";8;7;10;13;17;21
"Imelda";10;8;9;8;8;8
"Ina";260;266;284;293;301;326
"Inaja";-;-;9;18;31;45
"Inara";-;-;7;7;8;8
"Inaya";-;-;-;12;18;22
"Indi";-;-;5;5;5;5
"Indira";169;172;177;177;186;192
"Ines";2237;2261;2286;2306;2318;2317
"Inesa";12;13;13;15;15;16
"Inga";41;41;39;41;43;42
"Inge";127;125;124;121;122;121
"Ingeborg";54;53;53;53;52;52
"Ingrid";799;799;798;799;799;800
"Inja";73;87;101;114;132;148
"Inka";17;18;19;19;20;21
"Inna";28;25;24;28;34;38
"Inti";8;10;18;23;28;30
"Iolanda";6;6;6;6;6;6
"Ira";32;34;36;39;39;38
"Iren";20;6;6;6;6;-
"Irena";12736;12685;12650;12570;12535;12456
"Irena Marija";35;35;35;35;33;33
"Irenca";104;105;105;104;104;103
"Irene";32;29;27;27;27;28
"Irenka";43;41;41;42;39;38
"Irfeta";5;6;6;6;6;7
"Irina";109;114;117;122;135;141
"Irinka";5;5;5;5;5;5
"Iris";915;931;949;966;988;997
"Irma";1269;1252;1243;1227;1220;1217
"Irma Marija";9;9;8;8;8;7
"Irmgard";10;10;10;10;10;10
"Irmica";8;8;8;8;9;8
"Irmina";24;24;23;23;23;22
"Irna";6;6;6;6;6;6
"Irén";-;13;12;12;11;11
"Iryna";41;45;53;52;59;59
"Isa";17;18;24;26;35;41
"Isabel";28;29;35;38;41;47
"Isabela";33;40;44;52;59;62
"Isabell";-;-;-;-;7;7
"Isabella";23;29;36;43;49;55
"Isabelle";12;12;13;12;13;16
"Isidora";9;9;11;11;13;14
"Iskra";8;8;9;10;10;13
"Isma";15;15;15;15;16;16
"Ismeta";182;182;191;193;194;193
"Ismetka";-;5;6;5;5;5
"Ismije";-;-;5;5;-;-
"Isra";-;-;-;-;-;5
"Issa";-;5;5;6;6;7
"Iša";10;10;10;11;11;11
"Ita";15;20;21;22;23;23
"Iuliia";-;-;-;-;10;14
"Iva";800;841;891;931;990;1058
"Ivana";9605;9343;9128;8902;8652;8392
"Ivana Alojzija";6;6;6;6;6;6
"Ivana Ana";20;20;19;18;18;18
"Ivana Franèiška";26;26;27;27;26;23
"Ivana Jožefa";9;9;7;7;7;6
"Ivana Marija";90;89;86;84;81;77
"Ivana Milena";6;6;7;7;7;7
"Ivana Stanislava";5;5;5;-;-;-
"Ivana Terezija";8;8;7;7;6;6
"Ivana Vida";6;6;6;6;6;5
"Ivanèica";11;11;12;12;11;10
"Ivanica";5;5;5;5;5;5
"Ivanka";5790;5716;5640;5545;5467;5367
"Ivanka Jana";5;5;-;-;-;-
"Ivanka Marija";9;9;9;9;9;8
"Ives";6;6;6;6;6;6
"Iveta";5;5;6;7;8;10
"Ivi";9;9;9;9;9;9
"Ivica";1049;1045;1038;1032;1025;1020
"Ivjana";-;-;5;5;5;6
"Ivka";235;229;225;221;219;213
"Ivona";98;111;114;125;140;149
"Ivuša";6;6;6;6;6;6
"Iza";400;451;506;556;622;682
"Izabel";16;17;17;19;21;24
"Izabela";149;170;189;208;230;269
"Izabella";6;6;6;6;6;8
"Izadora";-;7;7;8;8;8
"Izeta";94;96;101;99;98;100
"Izidora";93;92;92;91;90;85
