"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Altina";13;16;16;18;19;23
"Alvina";6;7;7;7;7;7
"Alvira";5;6;6;6;7;7
"Alya";-;7;9;12;15;18
"Amadea";47;47;46;48;49;48
"Amadeja";279;287;294;300;310;320
"Amajla";-;-;-;-;-;5
"Amalia";14;14;15;16;19;17
"Amalija";2387;2309;2248;2159;2067;1977
"Amalija Ana";5;5;5;5;5;5
"Amalija Ljubica";6;6;6;6;6;6
"Amalija Marija";9;9;8;8;8;8
"Amanda";219;225;228;230;232;234
"Amaya";-;-;-;-;5;6
"Amber";-;-;5;8;8;9
"Ambra";-;-;-;-;5;6
"Amedea";9;9;10;11;11;11
"Amedeja";10;10;10;10;10;10
"Amela";335;343;370;373;388;405
"Ameli";-;-;7;10;12;16
"Amelia";11;12;13;15;16;17
"Amelie";-;8;9;12;17;21
"Amelija";44;44;46;42;43;43
"Amerisa";-;-;-;-;-;5
"Amila";27;32;37;40;42;52
"Amina";105;112;131;154;178;205
"Amira";141;149;160;163;168;176
"Amire";-;5;5;5;5;5
"Amna";9;10;13;17;26;30
"Amra";204;213;230;241;257;276
"Amy";-;-;-;-;7;9
"Ana";29442;29177;28804;28439;28115;27678
"Ana Aleksandra";5;5;5;5;5;5
"Ana Alojzija";9;9;9;8;8;8
"Ana Amalija";6;6;7;7;7;7
"Ana Anita";7;7;7;7;8;8
"Ana Antonija";15;15;14;14;12;11
"Ana Barbara";7;7;7;7;7;7
"Ana Elizabeta";9;9;8;8;8;9
"Ana Eva";-;-;5;6;6;7
"Ana Franèiška";15;14;14;14;12;11
"Ana Gabrijela";5;5;5;5;5;5
"Ana Helena";8;7;7;7;6;6
"Ana Ivana";22;22;22;22;21;21
"Ana Jožefa";16;15;14;13;14;14
"Ana Julija";7;8;11;13;14;14
"Ana Julijana";5;5;5;5;5;5
"Ana Justina";5;-;-;-;-;-
"Ana Karolina";5;6;6;6;6;6
"Ana Katarina";35;36;38;38;37;37
"Ana Klara";-;-;-;5;5;5
"Ana Kristina";20;19;20;19;20;20
"Ana Laura";5;5;6;7;7;7
"Ana Lea";-;-;-;-;5;5
"Ana Lina";11;13;16;18;18;20
"Ana Ljudmila";6;6;6;6;6;5
"Ana Lucia";-;-;-;-;-;5
"Ana Lucija";18;20;22;22;24;27
"Ana Maja";-;-;-;-;-;5
"Ana Mari";44;42;44;44;43;44
"Ana Maria";38;41;46;47;51;51
"Ana Marie";17;19;19;19;20;21
"Ana Marija";1283;1255;1246;1229;1216;1207
"Ana Marjeta";19;18;18;18;18;18
"Ana Marta";13;14;14;14;13;13
"Ana Martina";10;10;10;10;10;9
"Ana Milena";7;7;7;7;7;7
"Ana Nada";8;7;6;-;-;-
"Ana Nuša";41;42;42;43;43;41
"Ana Nuška";6;5;5;5;5;5
"Ana Pavla";10;10;10;10;10;10
"Ana Pia";8;8;9;9;9;9
