"Moška imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
"Amadei";-;-;-;-;5;5
"Amadej";428;454;485;520;536;556
"Amadeo";9;9;10;10;10;11
"Amadeus";6;6;6;6;5;6
"Amal";6;6;6;6;6;6
"Amar";102;113;130;153;175;207
"Ambrož";306;315;323;335;351;362
"Amdija";5;-;-;-;-;-
"Amel";228;233;265;265;263;275
"Amer";50;51;54;56;55;63
"Amet";6;8;10;10;12;12
"Amil";12;14;15;22;27;32
"Amin";21;20;25;30;35;38
"Amir";622;648;710;698;684;699
"Amit";5;5;6;5;5;5
"Ammar";27;30;37;46;50;58
"Amon";7;8;10;10;12;13
"Amor";6;7;6;5;5;5
"Amos";5;5;5;5;5;5
"Amrush";-;5;8;7;7;7
"An";15;20;20;20;21;22
"Anadin";-;-;5;6;6;6
"Anai";-;-;-;-;5;5
"Anaj";-;-;-;-;6;7
"Anan";5;6;8;12;14;15
"Anastazij";7;7;7;7;7;7
"Anatoliy";8;5;5;5;-;7
"Anèe";5;6;-;-;-;-
"Andi";71;73;75;80;83;84
"Andjelko";38;42;41;40;38;38
"Andon";-;-;5;-;5;-
"Andor";-;-;-;-;-;5
"Andraž";2513;2579;2645;2710;2767;2815
"Andre";21;14;16;15;14;13
"Andrea";40;44;50;53;54;57
"Andreas";109;103;105;106;103;101
"Andrei";6;6;5;6;6;6
"Andrej";17613;17567;17504;17416;17352;17255
"Andrej Ivan";6;5;5;5;-;-
"Andrej Janez";11;11;11;11;11;11
"Andrej Martin";5;6;7;7;7;7
"Andrej Stanislav";6;6;5;5;5;5
"Andreja";-;6;6;6;5;6
"Andrejas";16;16;16;15;16;16
"Andrejèek";16;15;15;15;15;15
"Andres";7;6;6;6;6;5
"Andrew";6;7;5;5;6;7
"Andrey";8;12;13;13;13;16
"Andrija";252;246;246;235;238;231
"Andrijan";7;7;7;7;7;7
"Andriy";10;14;18;18;16;17
"Andro";50;48;43;40;40;39
"André";-;6;6;7;7;6
"Andy";13;14;14;14;14;17
"Anei";5;5;6;7;9;12
"Anej";933;1060;1169;1306;1430;1543
"Anel";207;219;257;271;285;301
"Anes";85;93;105;115;131;144
"Aney";-;-;-;-;-;5
"Angel";190;183;182;173;172;171
"Angelcho";-;-;5;6;7;7
"Angelko";5;5;5;5;5;-
"Angelo";34;32;33;35;35;38
"Angjelko";7;6;7;6;6;-
"Anid";6;7;10;11;10;11
"Anis";43;50;56;64;69;75
"Antal";9;8;8;8;9;8
"Ante";244;244;233;232;228;228
"Anthony";-;-;5;-;-;-
"Anto";290;286;284;277;272;267
"Anton";22394;21902;21361;20875;20367;19774
"Anton Alojz";9;9;8;8;8;8
"Anton Alojzij";7;7;7;8;8;6
"Anton Andrej";10;10;10;10;10;10
"Anton Franc";20;20;19;17;16;16
"Anton Ivan";10;9;9;9;9;9
"Anton Janez";11;10;11;11;11;11
"Anton Jože";5;5;5;5;5;5
"Anton Jožef";16;16;15;14;14;14
"Anton Marijan";11;11;11;11;11;10
"Anton Marjan";13;12;12;11;11;11
"Anton Marko";5;5;5;5;5;5
"Anton Martin";16;16;15;16;16;16
"Anton Mihael";8;8;8;7;7;7
"Anton Milan";5;-;-;-;-;-
"Anton Pavel";7;7;7;7;7;7
"Anton Peter";7;7;7;6;6;6
"Anton Stanislav";8;8;8;7;6;6
"Anton Zvonimir";6;6;6;5;5;5
"Anton Zvonko";28;28;27;26;26;26
"Antonije";7;7;6;6;6;6
"Antonijo";22;25;25;25;25;25
"Antonin";6;6;6;6;6;6
"Antonino";5;-;-;-;-;-
"Antonio";147;154;163;169;173;186
"Antun";508;504;496;483;472;461
"Anže";3858;4037;4214;4382;4572;4757
"Anžej";80;83;90;91;94;97
"Anðelko";81;84;91;88;88;92
"Anðelo";22;23;23;21;21;23
"Arafat";5;-;5;-;-;-
"Arben";115;116;135;125;124;119
"Arber";21;23;20;23;24;25
"Arbnor";7;12;14;15;13;14
"Ardi";5;6;9;10;11;13
"Ardian";35;41;50;55;54;52
"Ardijan";10;13;15;13;13;13
"Ardit";20;24;28;29;35;39
"Argjend";6;6;8;9;8;9
"Argjent";5;6;8;8;9;10
"Arian";45;50;60;62;68;80
"Arianit";5;6;9;8;13;12
"Ariel";-;-;-;-;6;-
"Arif";202;202;217;206;204;203
"Arijan";30;33;34;35;36;39
"Arion";-;-;-;-;5;6
"Aris";10;10;10;11;13;15
"Arjan";18;20;21;21;25;27
"Arjanit";6;7;8;8;9;8
"Arlind";27;35;38;38;42;40
"Arman";10;12;15;16;20;20
"Armand";20;20;20;20;20;20
"Armando";102;104;103;104;104;100
"Armel";7;8;10;8;8;9
"Armen";10;9;10;11;11;12
"Armend";37;40;43;47;53;55
"Arment";5;6;6;6;5;6
"Armin";384;384;413;425;436;436
"Arne";100;108;128;150;168;177
"Arnej";9;10;11;10;11;11
"Arnel";77;75;81;83;78;83
"Arnes";56;60;70;74;75;76
"Arno";7;7;7;8;8;7
"Arnold";17;18;19;18;18;18
"Aron";31;36;40;43;50;55
"Arpad";68;60;59;59;59;57
"Arsen";34;37;37;39;39;47
"Arsenije";6;7;7;7;5;-
"Arsim";61;63;64;61;62;58
"Arslan";9;8;10;12;13;16
"Art";9;7;10;10;12;11
"Artan";23;28;31;38;38;40
"Arthur";6;5;5;5;6;6
"Arti";-;-;5;6;6;6
"Arton";47;58;60;53;54;55
"Artur";77;76;78;78;82;79
"Asad";6;7;8;7;7;8
"Asan";22;20;20;19;21;20
"Asen";-;-;5;-;5;-
"Asif";17;18;17;16;16;16
"Asim";367;369;391;388;377;380
"Asip";-;5;-;-;-;-
"Aslan";10;11;11;8;8;8
"Asllan";20;24;24;21;20;20
"Asman";-;-;-;-;5;-
"Asmir";271;271;311;313;299;306
"Astrit";26;30;36;31;28;30
"Ašim";9;10;9;8;7;7
"Atanas";27;21;26;25;28;29
"Atif";55;56;58;57;56;56
"Atila";18;14;16;16;16;15
"Atilij";8;8;8;7;6;5
"Atilio";7;7;7;6;6;6
"Atko";-;-;5;-;-;-
"Atnan";6;-;-;-;-;-
"Atso";6;-;-;-;6;6
"Attila";21;21;23;24;22;24
"August";59;57;55;53;54;51
"Augustin";48;45;43;41;42;44
"Auguštin";29;28;26;27;26;24
"Aulon";-;-;-;-;-;5
"Aurelio";7;7;7;7;7;7
"Avdi";21;23;27;30;27;26
"Avdija";20;19;23;24;23;23
"Avdo";99;104;101;101;99;99
"Avdul";5;5;-;-;-;-
"Avdula";-;5;5;6;6;6
"Avdulah";24;23;24;21;19;20
"Avdulla";5;7;8;8;9;9
