"GEO";"BCA";"BCA_NGDPD";"GGR_NGDP";"GGXCNL_NGDP";"GGX_NGDP";"GGXWDG_NGDP";"LP";"NGDPD";"NGDP_D";"NGDPDPC";"NGDP_RPCH";"NGSD_NGDP";"NID_NGDP";"PCPI";"PCPIE";"PCPIEPCH";"PCPIPCH";"PPPEX";"PPPGDP";"PPPPC";"PPPSH";"TMG_RPCH";"TM_RPCH";"TXG_RPCH";"TX_RPCH"
"Swaziland";-388;-10520;24864;-11500;36364;17107;1054;3691;204962;3501,036;1861;1287;11808;192767;203705;4500;4509;4485;6025;5715,996;8;-18069;-14447;-9110;-7407
"Sweden";29358;6340;52324;-8;52332;39439;9416;463062;97729;49180,46;6557;25051;18711;96269;97945;2338;1158;9342;357253;37942,8;476;23317;18489;22010;18141
"Syria";-1709;-2846;20866;-7772;28638;30013;21393;60043;189955;2806,685;3440;23842;26688;174059;182132;6321;4398;26118;106890;4996,534;142;5360;5370;18230;11280
"Taiwan";39872;9311;15611;-5044;20654;38285;23162;428221;95336;18488;10761;31946;22397;98595;98009;1238;963;16577;817538;35296,32;1089;29823;27746;26592;25299
"Tajikistan";-69;-1219;23160;-2979;26139;36342;7616;5642;15386,08;740733;6500;15357;16575;857511;619415;9804;6463;1685;14659;1924,617;20;2262;3253;-9268;-4254
"Tanzania";-2131;-9304;21012;-6472;27484;37662;42832;22901;191897;534662;7043;24143;32027;189855;190874;5553;7192;521595;61913;1445,487;82;6084;6084;8828;8828
"Thailand";10024;3143;22416;-803;23219;42644;67275;318908;219856;4740,328;7811;29078;25935;96334;97190;3065;3280;17317;583526;8673,676;777;27538;25400;16653;14738
"The Gambia";-154;-16013;18852;-5401;24253;70492;1728;964;123243;557595;6526;5409;21421;297913;305063;5789;5049;8175;3261;1886,94;4;-10181;7804;906;299
"Togo";-212;-6673;20939;-1610;22549;47332;6028;3179;137760;527367;3996;12567;18863;106400;108200;3739;1430;262679;5983;992492;8;4551;5647;8879;9595
"Trinidad and Tobago";4172;20261;34582;-3847;38429;35503;1318;20593;147468;15627,65;211;34248;13987;195902;193763;13405;10547;5045;26024;19749,581;35;-20271;-19926;5487;4985
"Tunisia";-2105;-4752;30041;-875;30917;40445;10547;44290;121599;4199,274;2912;21816;26568;122163;124701;4147;4444;642;98681;9356,206;131;-1947;-2147;6553;5419
